name,category,subcategory
"Juodieji pomidorai, nuo 47 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ilgavaisiai agurkai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lupti virti burokėliai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti kopūstai LINKĖJIMAI IŠ KAIMO, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lupti virti burokėliai, vakuumuoti, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti agurkai kibirėlyje, 600 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Virtos saldžiųjų kukurūzų burbuolės WELL DONE, 450 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti agurkai LINKĖJIMAI IŠ KAIMO, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti kopūstai, 1000 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti kaimiški kopūstai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviškos plautos morkos, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviškos bulvės, 50-70 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviški svogūnai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ilgavaisis agurkas, 220 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Raudonos saldžiosios paprikos, 80-100 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Smulkiavaisiai slyviniai pomidorai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žalioji cukinija, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Gūžinės salotos ICEBERG, 12 d., 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rausvieji svogūnai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Česnakai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Slyviniai pomidorai, 47-57 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Smulkiavaisiai pomidorai SUNSTREAM WELL DONE, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Bulvės LINKĖJIMAI IŠ KAIMO, 50-70 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žalumynų rinkinys: svogūnų laiškai ir krapai, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Pomidorai su šakelėmis, 47-57 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Batatai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salierų stiebas, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Smulkiavaisiai pomidorai, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Porai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotos vazonėlyje LOLLO BIONDO, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys HOME WELL DONE, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žiedinis kopūstas su lapais, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Špinatai, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Krapai, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiški baltagūžiai kopūstai EKOLOGICA, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviški burokėliai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Kalendros WELL DONE, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Krapai, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lapinės salotos vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Svogūnų laiškai LINKĖJIMAI IŠ KAIMO (fasuoti), 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Mažosios bulvytės AGATA, 20-40 mm, 0.6 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salierų šaknys, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Plautos bulvės LINKĖJIMAI IŠ KAIMO, 50-70 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Imbierų šaknys, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviškos bulvės tinklelyje, 35-50 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviški baltagūžiai kopūstai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Petražolės, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Uoginiai pomidorai su šakelėmis, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Pailgos saldžiosios paprikos WELL DONE, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Plautos morkos LINKĖJIMAI IŠ KAIMO, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rudieji pievagrybiai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ridikėliai, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Geltonos saldžiosios paprikos, 80-100 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Mažosios romaninės salotos GREEN GEM, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žalios saldžiosios paprikos, 70-90 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviški česnakai, 2 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Gražgarstės WELL DONE, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Petražolės, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Mažos saldžiosios paprikos SWEET BITE WELL DONE, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Kininiai kopūstai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiški lupti virti burokėliai, vakuumuoti, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotos ROMAINE, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Baklažanas, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Smulkiavaisiai slyviniai pomidorai WELL DONE, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Mažųjų pomidorų asorti, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Laiškiniai česnakai WELL DONE, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rozmarinai WELL DONE, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti agurkai, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys GARDEN WELL DONE, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žirnių ankštys be žirnių, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Saldieji svogūnai GRANO, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Gražgarstės WELL DONE, 200 g, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Sviestiniai moliūgai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ropinis kopūstas, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys MIX WELL DONE, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Bazilikai WELL DONE, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Mėtos WELL DONE, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Korėjietiškos morkos, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žalieji smidrai, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Geltonieji VAIKŲ pomidorai, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Smulkiavaisiai pomidorai su šakelėmis MIS PERFECT, 350 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotinės sultenės WELL DONE, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiškų paprikų rinkinys, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Daigų mišinys ŠVELNUS, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Špinatai WELL DONE, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Baltieji svogūnai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Troškinti kopūstai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Įvairiaspalvių saldžiųjų paprikų rinkinys WELL DONE, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Bulvių tarkiai, 900 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Raudongūžiai kopūstai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti kopūstai su morkomis marinate, 850 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Čiobreliai WELL DONE, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Virti avinžirniai, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rozmarinas vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Valgomieji svogūnėliai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Raugintų kopūstų sultys, 250 ml, 250 ml",darzoves-ir-vaisiai,darzoves-ir-grybai
"Korėjietiški kopūstai, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Kviečių želmenys, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Bazilikas vazonėlyje LINKĖJIMAI IŠ KAIMO, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Aitriosios paprikos WELL DONE, 75 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Grybai PORTABELA, 280 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Mažieji kukurūzai, 125 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Kalendros vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiška žalioji cukinija, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Virti marinuoti burokėliai šaltibarščiams SKONIO LINIJA, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Valgomieji svogūnėliai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti pomidorai, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotos GREEN FLAME LEAFOOD, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Korėjietiški burokėliai, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Marinuoti raudonieji svogūnai, 340 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ropės, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Virtos pupelės, vakuumuotos, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviški rausvieji svogūnai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Petražolės vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Kreivabūdės, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Špinatai WELL DONE, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Raudonos aitriosios paprikos WELL DONE, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Marinuoti kopūstai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviški juodieji ridikai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Mažosios bulvytės BABY RED CHERRIE, 800 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Marinuoti burokėliai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotos COLESLAW, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Virtos bulvės su krapais, 430 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žalios Chalapos paprikos, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiški moliūgai MAXIMA ECOLOGICA, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Burokėlių karpačas, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rudieji grybai SHIMIEJI, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Citrinžolės WELL DONE, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Bulvių didžkukulių tešla, 1000 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Tailandietiški bazilikai WELL DONE, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Liucernų daigai, 60 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Violetinės saldžiosios bulvės, 600 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiškos raudonosios aitriosios paprikos, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Mažos raudonos aitriosios paprikos WELL DONE, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti česnakai, 350 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Garstyčių daigai, 200 ml",darzoves-ir-vaisiai,darzoves-ir-grybai
"Baltieji grybai SHIMIEJI, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Virtos bulvės su rozmarinais, 430 g, 430 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Marinuoti česnakai su žolelėmis, 80 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Virtos bulvės su paprikomis, 430 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ciberžolių šakniastiebiai WELL DONE, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Marinuoti pjaustyti svogūnai, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Troškinti kopūstai su pomidorų gabaliukais, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Aitriosios paprikos PADRON, 200 g, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Melisa vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Daigintos pupelės, 140 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Marinuotos cukinijos su paprikomis, 170 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Šalavijas vazonėlyje, 170 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Aitriųjų paprikų rinkinys JELAPENO MIX, 75 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žalios aitriosios paprikos WELL DONE, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Datulinės paprikos (HABANERO) WELL DONE, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žolelių rinkinys žuvies patiekalams gardinti, 15 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žolelių rinkinys troškiniams gardinti, 15 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Aitriųjų paprikų rinkinys RAWIT MIX, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Daiginti žalieji grikiai, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Aitriosios žaliosios paprikos CAYNNE, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Raudonos Chalapos paprikos WELL DONE, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žolelių rinkinys šašlykams gardinti, 15 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Paprikų rinkinys AŠTRIAUSI PASAULYJE, 80 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Marinuoti porų griežinėliai, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Brokolis, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Pievagrybiai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Avietiniai pomidorai, nuo 57 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Rauginti kopūstai LINKĖJIMAI IŠ KAIMO kibirėlyje, 800 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Traškios morkytės, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Pievagrybiai, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lupti virti burokėliai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Gražgarstės WELL DONE, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys ELITE WELL DONE, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Švieži baltagūžiai kopūstai, kg, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Pievagrybiai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų asorti vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Maži slyviniai pomidorai kibirėlyje, 500 g, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiški pievagrybiai AUGA, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys SPRING WELL DONE, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiškos plautos morkos MAXIMA ECOLOGICA, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Grybai SHIITAKE, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Mažieji špinatai WELL DONE, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys WELL DONE LATTUGHINI, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žalieji lapiniai kopūstai KALE, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys MISTIC. RICCA WELL DONE, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Baltieji ridikai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiški pomidorai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiškas ilgavaisis agurkas, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys DELICIOUS WELL DONE, 100 g, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Gūžinės salotos ICEBERG LEAFOOD, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys MESCLUN WELL DONE, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Daigintos saulėgrąžos, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotų mišinys CLASSIC LEAFOOD, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotos BABY PAK CHOI LEAFOOD, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Salotos CRUNCHITA LEAFOOD, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiški grybai ERINGI AUGA, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Lietuviški moliūgai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Čiobreliai vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"Aitriosios raudonosios paprikos CAYNNE, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Šalavijai WELL DON, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ekologiški raudonieji burokėliai MAXIMA EKOLOGICA, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"Grybai ENOKI, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Daiginti kviečiai, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Raudonėliai WELL DONE, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žolelių rinkinys paukštienos patiekalams gardinti, 15 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Daiginti lęšiai, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Daiginių mišinys, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Žirnių mikrožalumynai LEAFOOD, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Daigintos belukštės avižos, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Daiginti rugiai, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Ridikų mikrožalumynai LEAFOOD, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Brokolių mikrožalumynai LEAFOOD, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Aitriųjų paprikų rinkkinys HABANERO MIX, 75 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"Bananai, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Mandarinai, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Avokadai READY TO EAT WELL DONE, 2 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Žaliosios besėklės vynuogės, 500 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Šilauogės, 500 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Ananasai, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Mandarinai tinklelyje, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Mandarinai dėžutėje WELL DONE, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Didelis rausvas greipfrutas RED POMELO, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Mandarinai AUTOBUSIUKAS, 4-5 d., 800 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Mandarinai dėžutėje BOLLO, 2,3 kg, 2.3 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Mandarinai dėžutėje BOLLO, 3-4 d., 1.5 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Apelsinai, 4 - 5 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Apelsinai sultims WELL DONE, 1.5 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Tamsieji apelsinai, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Fasuoti apelsinai WELL DONE, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Dideli raudonieji greipfrutai, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Didieji greipfrutai POMELO, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Citrinos, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Kriaušės CONFERENCE, didžiosios, nuo 70 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Šviežios datulės dėžutėje, 550 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Obuoliai JONAGOLD, 75-85 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Obuoliai GOLDEN, 75-85 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Avokadas, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Dideli apelsinai, 1-2 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Kiviai, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Geltonieji kiviai, 500 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Žaliosios citrinos, 48-54 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"Raudonosios besėklės vynuogės, 500 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
