name,category,subcategory
"linkėjimai iš kaimo, vakuumuoti, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"linkėjimai iš kaimo, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 450 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"iceberg, 12 d., 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"sunstream well done, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"linkėjimai iš kaimo, 50-70 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"lollo biondo, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"home well done, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologica, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"linkėjimai iš kaimo (fasuoti), 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"agata, 20-40 mm, 0.6 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"linkėjimai iš kaimo, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"green gem, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"sweet bite well done, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"romaine, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"garden well done, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"grano, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 200 g, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mix well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"vaikų pomidorai, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mis perfect, 350 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"švelnus, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"linkėjimai iš kaimo, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 75 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"portabela, 280 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"skonio linija, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"green flame leafood, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"baby red cherrie, 800 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"coleslaw, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"maxima ecologica, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"shimieji, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"padron, 200 g, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"jelapeno mix, 75 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"habanero) well done, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rawit mix, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"caynne, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"aštriausi pasaulyje, 80 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"linkėjimai iš kaimo kibirėlyje, 800 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"linkėjimai iš kaimo, vakuumuoti, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"elite well done, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"auga, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"spring well done, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"shiitake, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"well done lattughini, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"kale, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mistic. ricca well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"delicious well done, 100 g, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"iceberg leafood, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mesclun well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"classic leafood, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"baby pak choi leafood, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"crunchita leafood, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"eringi auga, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"well don, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"maxima ekologica, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"enoki, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"leafood, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"habanero mix, 75 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ready to eat well done, 2 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"well done, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"red pomelo, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"autobusiukas, 4-5 d., 800 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"bollo, 2,3 kg, 2.3 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"bollo, 3-4 d., 1.5 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"well done, 1.5 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"well done, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"pomelo, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"conference, didžiosios, nuo 70 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"jonagold, 75-85 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"golden, 75-85 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"linkėjimai iš kaimo, nuo 55 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"well done, 125 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"hass, 750 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"honey dew, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"green skin, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"hass well done, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"royal gala, nuo 75-80 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"granny smith, 70-85 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"well done, 500 g, 1 klasė",darzoves-ir-vaisiai,vaisiai-ir-uogos
