name,category,subcategory
Juodieji pomidorai,darzoves-ir-vaisiai,darzoves-ir-grybai
Ilgavaisiai agurkai,darzoves-ir-vaisiai,darzoves-ir-grybai
Lupti virti burokėliai,darzoves-ir-vaisiai,darzoves-ir-grybai
Rauginti kopūstai,darzoves-ir-vaisiai,darzoves-ir-grybai
Rauginti agurkai kibirėlyje,darzoves-ir-vaisiai,darzoves-ir-grybai
Virtos saldžiųjų kukurūzų burbuolės,darzoves-ir-vaisiai,darzoves-ir-grybai
Rauginti agurkai,darzoves-ir-vaisiai,darzoves-ir-grybai
Rauginti kaimiški kopūstai,darzoves-ir-vaisiai,darzoves-ir-grybai
Lietuviškos plautos morkos,darzoves-ir-vaisiai,darzoves-ir-grybai
Lietuviškos bulvės,darzoves-ir-vaisiai,darzoves-ir-grybai
Lietuviški svogūnai,darzoves-ir-vaisiai,darzoves-ir-grybai
Ilgavaisis agurkas,darzoves-ir-vaisiai,darzoves-ir-grybai
Raudonos saldžiosios paprikos,darzoves-ir-vaisiai,darzoves-ir-grybai
Smulkiavaisiai slyviniai pomidorai,darzoves-ir-vaisiai,darzoves-ir-grybai
Žalioji cukinija,darzoves-ir-vaisiai,darzoves-ir-grybai
Gūžinės salotos,darzoves-ir-vaisiai,darzoves-ir-grybai
Rausvieji svogūnai,darzoves-ir-vaisiai,darzoves-ir-grybai
Česnakai,darzoves-ir-vaisiai,darzoves-ir-grybai
Slyviniai pomidorai,darzoves-ir-vaisiai,darzoves-ir-grybai
Smulkiavaisiai pomidorai,darzoves-ir-vaisiai,darzoves-ir-grybai
Bulvės,darzoves-ir-vaisiai,darzoves-ir-grybai
Žalumynų rinkinys svogūnų laiškai ir krapai,darzoves-ir-vaisiai,darzoves-ir-grybai
Pomidorai su šakelėmis,darzoves-ir-vaisiai,darzoves-ir-grybai
Batatai,darzoves-ir-vaisiai,darzoves-ir-grybai
Salierų stiebas,darzoves-ir-vaisiai,darzoves-ir-grybai
Porai,darzoves-ir-vaisiai,darzoves-ir-grybai
Salotos vazonėlyje,darzoves-ir-vaisiai,darzoves-ir-grybai
Salotų mišinys,darzoves-ir-vaisiai,darzoves-ir-grybai
Žiedinis kopūstas su lapais,darzoves-ir-vaisiai,darzoves-ir-grybai
Špinatai,darzoves-ir-vaisiai,darzoves-ir-grybai
Krapai,darzoves-ir-vaisiai,darzoves-ir-grybai
Ekologiški baltagūžiai kopūstai,darzoves-ir-vaisiai,darzoves-ir-grybai
Lietuviški burokėliai,darzoves-ir-vaisiai,darzoves-ir-grybai
Kalendros,darzoves-ir-vaisiai,darzoves-ir-grybai
Lapinės salotos vazonėlyje,darzoves-ir-vaisiai,darzoves-ir-grybai
Svogūnų laiškai fasuoti,darzoves-ir-vaisiai,darzoves-ir-grybai
Mažosios bulvytės,darzoves-ir-vaisiai,darzoves-ir-grybai
Salierų šaknys,darzoves-ir-vaisiai,darzoves-ir-grybai
Plautos bulvės,darzoves-ir-vaisiai,darzoves-ir-grybai
Imbierų šaknys,darzoves-ir-vaisiai,darzoves-ir-grybai
Lietuviškos bulvės tinklelyje,darzoves-ir-vaisiai,darzoves-ir-grybai
Lietuviški baltagūžiai kopūstai,darzoves-ir-vaisiai,darzoves-ir-grybai
Petražolės,darzoves-ir-vaisiai,darzoves-ir-grybai
Uoginiai pomidorai su šakelėmis,darzoves-ir-vaisiai,darzoves-ir-grybai
Pailgos saldžiosios paprikos,darzoves-ir-vaisiai,darzoves-ir-grybai
Plautos morkos,darzoves-ir-vaisiai,darzoves-ir-grybai
Rudieji pievagrybiai,darzoves-ir-vaisiai,darzoves-ir-grybai
Ridikėliai,darzoves-ir-vaisiai,darzoves-ir-grybai
Geltonos saldžiosios paprikos,darzoves-ir-vaisiai,darzoves-ir-grybai
Mažosios romaninės salotos,darzoves-ir-vaisiai,darzoves-ir-grybai
Žalios saldžiosios paprikos,darzoves-ir-vaisiai,darzoves-ir-grybai
Lietuviški česnakai,darzoves-ir-vaisiai,darzoves-ir-grybai
Gražgarstės,darzoves-ir-vaisiai,darzoves-ir-grybai
Mažos saldžiosios paprikos,darzoves-ir-vaisiai,darzoves-ir-grybai
Kininiai kopūstai,darzoves-ir-vaisiai,darzoves-ir-grybai
Ekologiški lupti virti burokėliai,darzoves-ir-vaisiai,darzoves-ir-grybai
Salotos,darzoves-ir-vaisiai,darzoves-ir-grybai
Baklažanas,darzoves-ir-vaisiai,darzoves-ir-grybai
Mažųjų pomidorų asorti,darzoves-ir-vaisiai,darzoves-ir-grybai
Laiškiniai česnakai,darzoves-ir-vaisiai,darzoves-ir-grybai
Rozmarinai,darzoves-ir-vaisiai,darzoves-ir-grybai
Žirnių ankštys be žirnių,darzoves-ir-vaisiai,darzoves-ir-grybai
Saldieji svogūnai,darzoves-ir-vaisiai,darzoves-ir-grybai
Sviestiniai moliūgai,darzoves-ir-vaisiai,darzoves-ir-grybai
Ropinis kopūstas,darzoves-ir-vaisiai,darzoves-ir-grybai
Bazilikai,darzoves-ir-vaisiai,darzoves-ir-grybai
Mėtos,darzoves-ir-vaisiai,darzoves-ir-grybai
Korėjietiškos morkos,darzoves-ir-vaisiai,darzoves-ir-grybai
Žalieji smidrai,darzoves-ir-vaisiai,darzoves-ir-grybai
Geltonieji pomidorai,darzoves-ir-vaisiai,darzoves-ir-grybai
