name,category,subcategory
"juodieji pomidorai, nuo 47 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"ilgavaisiai agurkai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"lupti virti burokėliai linkėjimai iš kaimo, vakuumuoti, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti kopūstai linkėjimai iš kaimo, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"lupti virti burokėliai, vakuumuoti, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti agurkai kibirėlyje, 600 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"virtos saldžiųjų kukurūzų burbuolės well done, 450 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti agurkai linkėjimai iš kaimo, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti kopūstai, 1000 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti kaimiški kopūstai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviškos plautos morkos, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviškos bulvės, 50-70 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviški svogūnai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"ilgavaisis agurkas, 220 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"raudonos saldžiosios paprikos, 80-100 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"smulkiavaisiai slyviniai pomidorai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žalioji cukinija, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"gūžinės salotos iceberg, 12 d., 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"rausvieji svogūnai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"česnakai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"slyviniai pomidorai, 47-57 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"smulkiavaisiai pomidorai sunstream well done, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"bulvės linkėjimai iš kaimo, 50-70 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"žalumynų rinkinys: svogūnų laiškai ir krapai, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"pomidorai su šakelėmis, 47-57 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"batatai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"salierų stiebas, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"smulkiavaisiai pomidorai, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"porai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotos vazonėlyje lollo biondo, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys home well done, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žiedinis kopūstas su lapais, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"špinatai, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"krapai, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiški baltagūžiai kopūstai ekologica, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviški burokėliai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"kalendros well done, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"krapai, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"lapinės salotos vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"svogūnų laiškai linkėjimai iš kaimo (fasuoti), 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mažosios bulvytės agata, 20-40 mm, 0.6 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"salierų šaknys, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"plautos bulvės linkėjimai iš kaimo, 50-70 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"imbierų šaknys, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviškos bulvės tinklelyje, 35-50 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviški baltagūžiai kopūstai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"petražolės, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"uoginiai pomidorai su šakelėmis, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"pailgos saldžiosios paprikos well done, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"plautos morkos linkėjimai iš kaimo, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"rudieji pievagrybiai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ridikėliai, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"geltonos saldžiosios paprikos, 80-100 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"mažosios romaninės salotos green gem, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"žalios saldžiosios paprikos, 70-90 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviški česnakai, 2 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"gražgarstės well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"petražolės, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mažos saldžiosios paprikos sweet bite well done, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"kininiai kopūstai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiški lupti virti burokėliai, vakuumuoti, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotos romaine, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"baklažanas, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"smulkiavaisiai slyviniai pomidorai well done, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mažųjų pomidorų asorti, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"laiškiniai česnakai well done, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rozmarinai well done, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti agurkai, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys garden well done, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žirnių ankštys be žirnių, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"saldieji svogūnai grano, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"gražgarstės well done, 200 g, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"sviestiniai moliūgai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"ropinis kopūstas, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys mix well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"bazilikai well done, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mėtos well done, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"korėjietiškos morkos, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žalieji smidrai, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"geltonieji vaikų pomidorai, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"smulkiavaisiai pomidorai su šakelėmis mis perfect, 350 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotinės sultenės well done, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiškų paprikų rinkinys, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"daigų mišinys švelnus, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"špinatai well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"baltieji svogūnai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"troškinti kopūstai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"įvairiaspalvių saldžiųjų paprikų rinkinys well done, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"bulvių tarkiai, 900 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"raudongūžiai kopūstai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti kopūstai su morkomis marinate, 850 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"čiobreliai well done, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"virti avinžirniai, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rozmarinas vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"valgomieji svogūnėliai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"raugintų kopūstų sultys, 250 ml, 250 ml",darzoves-ir-vaisiai,darzoves-ir-grybai
"korėjietiški kopūstai, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"kviečių želmenys, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"bazilikas vazonėlyje linkėjimai iš kaimo, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"aitriosios paprikos well done, 75 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"grybai portabela, 280 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mažieji kukurūzai, 125 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"kalendros vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiška žalioji cukinija, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"virti marinuoti burokėliai šaltibarščiams skonio linija, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"valgomieji svogūnėliai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti pomidorai, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotos green flame leafood, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"korėjietiški burokėliai, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"marinuoti raudonieji svogūnai, 340 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ropės, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"virtos pupelės, vakuumuotos, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviški rausvieji svogūnai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"petražolės vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"kreivabūdės, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"špinatai well done, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"raudonos aitriosios paprikos well done, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"marinuoti kopūstai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviški juodieji ridikai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"mažosios bulvytės baby red cherrie, 800 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"marinuoti burokėliai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotos coleslaw, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"virtos bulvės su krapais, 430 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žalios chalapos paprikos, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiški moliūgai maxima ecologica, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"burokėlių karpačas, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rudieji grybai shimieji, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"citrinžolės well done, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"bulvių didžkukulių tešla, 1000 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"tailandietiški bazilikai well done, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"liucernų daigai, 60 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"violetinės saldžiosios bulvės, 600 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiškos raudonosios aitriosios paprikos, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mažos raudonos aitriosios paprikos well done, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti česnakai, 350 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"garstyčių daigai, 200 ml",darzoves-ir-vaisiai,darzoves-ir-grybai
"baltieji grybai shimieji, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"virtos bulvės su rozmarinais, 430 g, 430 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"marinuoti česnakai su žolelėmis, 80 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"virtos bulvės su paprikomis, 430 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ciberžolių šakniastiebiai well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"marinuoti pjaustyti svogūnai, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"troškinti kopūstai su pomidorų gabaliukais, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"aitriosios paprikos padron, 200 g, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"melisa vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"daigintos pupelės, 140 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"marinuotos cukinijos su paprikomis, 170 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"šalavijas vazonėlyje, 170 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"aitriųjų paprikų rinkinys jelapeno mix, 75 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žalios aitriosios paprikos well done, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"datulinės paprikos (habanero) well done, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žolelių rinkinys žuvies patiekalams gardinti, 15 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žolelių rinkinys troškiniams gardinti, 15 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"aitriųjų paprikų rinkinys rawit mix, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"daiginti žalieji grikiai, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"aitriosios žaliosios paprikos caynne, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"raudonos chalapos paprikos well done, 50 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žolelių rinkinys šašlykams gardinti, 15 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"paprikų rinkinys aštriausi pasaulyje, 80 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"marinuoti porų griežinėliai, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"brokolis, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"pievagrybiai, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"avietiniai pomidorai, nuo 57 mm, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"rauginti kopūstai linkėjimai iš kaimo kibirėlyje, 800 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"traškios morkytės, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"pievagrybiai, 400 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"lupti virti burokėliai linkėjimai iš kaimo, vakuumuoti, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"gražgarstės well done, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys elite well done, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"švieži baltagūžiai kopūstai, kg, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"pievagrybiai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų asorti vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"maži slyviniai pomidorai kibirėlyje, 500 g, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiški pievagrybiai auga, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys spring well done, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiškos plautos morkos maxima ecologica, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"grybai shiitake, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"mažieji špinatai well done, 200 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys well done lattughini, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žalieji lapiniai kopūstai kale, 250 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys mistic. ricca well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"baltieji ridikai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiški pomidorai, 500 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiškas ilgavaisis agurkas, 300 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys delicious well done, 100 g, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"gūžinės salotos iceberg leafood, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys mesclun well done, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"daigintos saulėgrąžos, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotų mišinys classic leafood, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotos baby pak choi leafood, 70 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"salotos crunchita leafood, 120 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiški grybai eringi auga, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"lietuviški moliūgai, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"čiobreliai vazonėlyje, 1 vnt.",darzoves-ir-vaisiai,darzoves-ir-grybai
"aitriosios raudonosios paprikos caynne, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"šalavijai well don, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ekologiški raudonieji burokėliai maxima ekologica, 1 kg",darzoves-ir-vaisiai,darzoves-ir-grybai
"grybai enoki, 100 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"daiginti kviečiai, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"raudonėliai well done, 20 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žolelių rinkinys paukštienos patiekalams gardinti, 15 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"daiginti lęšiai, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"daiginių mišinys, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"žirnių mikrožalumynai leafood, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"daigintos belukštės avižos, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"daiginti rugiai, 150 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"ridikų mikrožalumynai leafood, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"brokolių mikrožalumynai leafood, 25 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"aitriųjų paprikų rinkkinys habanero mix, 75 g",darzoves-ir-vaisiai,darzoves-ir-grybai
"bananai, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"mandarinai, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"avokadai ready to eat well done, 2 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"žaliosios besėklės vynuogės, 500 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"šilauogės, 500 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"ananasai, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"mandarinai tinklelyje, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"mandarinai dėžutėje well done, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"didelis rausvas greipfrutas red pomelo, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"mandarinai autobusiukas, 4-5 d., 800 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"mandarinai dėžutėje bollo, 2,3 kg, 2.3 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"mandarinai dėžutėje bollo, 3-4 d., 1.5 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"apelsinai, 4 - 5 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"apelsinai sultims well done, 1.5 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"tamsieji apelsinai, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"fasuoti apelsinai well done, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"dideli raudonieji greipfrutai, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"didieji greipfrutai pomelo, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"citrinos, 3-4 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"kriaušės conference, didžiosios, nuo 70 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"šviežios datulės dėžutėje, 550 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"obuoliai jonagold, 75-85 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"obuoliai golden, 75-85 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"avokadas, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"dideli apelsinai, 1-2 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"kiviai, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"geltonieji kiviai, 500 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"žaliosios citrinos, 48-54 d., 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"raudonosios besėklės vynuogės, 500 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"didysis mangas, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"lietuviški obuoliai linkėjimai iš kaimo, nuo 55 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"šilauogės well done, 125 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"avokadai hass, 750 g",darzoves-ir-vaisiai,vaisiai-ir-uogos
"ekologiški bananai, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"mangas, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"melionai honey dew, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"obuoliai, nuo 60 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"didysis avokadas green skin, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"didelis nokintas avokadas hass well done, 1 vnt.",darzoves-ir-vaisiai,vaisiai-ir-uogos
"obuoliai royal gala, nuo 75-80 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"obuoliai granny smith, 70-85 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
"citrinos well done, 500 g, 1 klasė",darzoves-ir-vaisiai,vaisiai-ir-uogos
"obuoliai red delicious, 85-95 mm, 1 kg",darzoves-ir-vaisiai,vaisiai-ir-uogos
